Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
"359459";"S/N2725S/N37S/NS/NS/N1S/N2";"COOPERATIVA DOS CIRURGIÕES DENTISTAS DO ESTADO DE SERGIPE";"COOPERDONTO";"Cooperativa odontológica";"AVENIDA BARÃO DE MARUIM";"993";;"CENTRO";"Aracaju";"SE";"49S/N15S/N4S/N";"79";"32146343";"32145556";"contato@cooperdonto-se.com.br";"JOÃO TELES DE MELO FILHO";"PRESIDENTE";3;"1998-12-3S/N"
"4S/N4241";"7235S/N382S/NS/NS/N194";"COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA";"COOPERSINOS LTDA";"Autogestão";"AV. UNISINOS";"95S/N";"CENTRO COMUNITÁ";"CRISTO REI";"São Leopoldo";"RS";"93S/N22S/NS/NS/N";"51";"359S/N85S/N9";"359S/N859S/N";"clovisk@unisinos.br";"CLÓVIS ANTÔNIO KRONBAUER";"PRESIDENTE";6;"1999-S/N5-19"
"4S/N68S/N5";"S/N3268622S/NS/NS/N193";"COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA.";"COOPUSAÚDE";"Medicina de Grupo";"PEDRO ALVARES CABRAL";"9S/NS/N";;"CENTRO";"Erechim";"RS";"997S/NS/N252";"54";"352S/N29S/NS/N";"35226869";"administracao@coopusaude.coop.br";"DILVA MARIA GALINA LOCH";"VICE-PRESIDENTE";5;"1999-S/N8-S/N2"
"4S/NS/N572";"S/N294718S/NS/NS/NS/N149";"COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLÓGICA DE BOTUCATU";"EVIDENTE";"Cooperativa odontológica";"RUA DR CARDOSO DE ALMEIDA";"579";;"CENTRO";"Botucatu";"SP";"186S/NS/NS/NS/N5";"14";"38824142";"38824142";"evidente@evidente.com.br";"JOÃO ANTONIO GODOY";"PRESIDENTE";5;"1999-S/N2-18"
"342335";"S/N15S/N1597S/NS/NS/N11S/N";"COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL.";"UNIODONTO GARANHUNS";"Cooperativa odontológica";"R DR JOSE MARIANO";"193";;"SAO JOSE";"Garanhuns";"PE";"55293335";"87";"3762176S/N";"3762176S/N";"uniodonto@uniodontogaranhuns.coop.br";"DANIEL VALENCA ARRUDA VIEIRA";"PRESIDENTE";5;"1998-12-18"
"365785";"S/N2254846S/NS/NS/N183";"COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ";"UNIODONTO AMAPÁ";"Cooperativa odontológica";"RUA MARCELO CÂNDIA";"925";;"SANTA RITA";"Macapá";"AP";"689S/N1341";"96";"91515691";;"uniodontoap@uniodontoap.com.br";"CLAUDIO VALENTE CALANDRINI DE AZEVEDO";"DIRETOR PRESIDENTE";6;"1999-S/N1-S/N4"
"4S/N9791";"S/N3494S/N31S/NS/NS/N134";"COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS";"UNIODONTO POÇOS DE CALDAS";"Cooperativa odontológica";"RUA PARAIBA ";"212";;"CENTRO ";"Poços de Caldas";"MG";"377S/N1726";"35";"37167222";"37167222";"ouvidoria@uniodontopocos.com.br";"FERNANDO DE PAIVA POSSO";"PRESIDENTE";5;"1999-11-11"
"4S/N2S/N1S/N";"S/NS/N491998S/NS/NS/N174";"COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO";"UNIODONTO ITABUNA";"Cooperativa odontológica";"RUA MARIÁ FERREIRA";"245";"1º ANDAR";"CENTRO";"Itabuna";"BA";"456S/NS/N12S/N";"S/N7";"33613476S/N";"3613476S/N";"uniodontoitb@gmail.com";"MARIO AUGUSTO DIAS BRUM";"PRESIDENTE";5;"1999-S/N3-12"
"353892";"19S/N52653S/NS/NS/N142";"COOPERCISO - CENTRO INTEGRADO DE SERVIÇO ODONTOLÓGICO S/S LTDA.";"COOPERCISO";"Odontologia de Grupo";"RUA JAIME MARTINS RIÊRA";"31";;"BOA VISTA";"Itajubá";"MG";"375S/N5S/N42";"35";"362346S/NS/N";"362346S/NS/N";"cooperciso@cooperciso.com.br";"LUCAS PEREIRA GONÇALVES";"DIRETOR ADMINISTRATIVO";5;"1999-S/N1-25"
"418757";"735S/N5463S/NS/NS/N189";"CORPLIFE ADMINISTRADORA DE BENEFÍCIOS LTDA ";"CORPLIFE ADMINISTRADORA DE BENEFÍCIOS LTDA ";"Administradora de Benefícios";"RUA VITÓRIA";"2296";;"NEVA";"Cascavel";"PR";"858S/N2229";"45";"3224S/N2S/N4";;"corplife@corplife.com.br";"ARISTIDES ALVES DOS REIS";"ADMINISTRADOR";6;"2S/N13-S/N1-11"
"41896S/N";"1767S/N9S/N1S/NS/NS/N193";"CORPORE ADMINISTRADORA DE BENEFICIOS DA SAUDE LTDA";;"Administradora de Benefícios";"ALAMEDA RIO NEGRO";"5S/NS/N";"9º ANDAR / SALA 9S/N1 A 916 / TORRE 2";"ALPHAVILLE CENTRO INDUSTRIAL E";"Barueri";"SP";"S/N6454S/NS/NS/N";"11";"434942S/NS/N";;"valquiria.brovini@corpesaude.com.br";"DIRCEU CANAL";"SóCIO ADMINISTRADOR";4;"2S/N13-S/N8-S/N1"
"368181";"19S/NS/N9638S/NS/NS/N111";"CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA";"CROE-CENTRO DE REABILITAÇAO ORAL ESPECIALIZADO LTDA";"Odontologia de Grupo";"OSCAR VIDAL ";"252";"Sala 2S/N1";"CENTRO";"Juiz de Fora";"MG";"36S/N1629S/N";"32";"33116699";;"ceaccroe@croe.com.br";"CLAUDIA CABRINI PINTO DE LUCCA";"SOCIO QUOTISTA";6;"1999-S/N1-S/N5"
"397245";"69S/N993S/N7S/NS/NS/N198";"CROWN ODONTOLOGIA DE GRUPO LTDA";"CROWN ODONTOLOGIA DE GRUPO LTDA";"Odontologia de Grupo";"RUA PEQUETITA";"145";"CONJ. 1S/N1";"JARDIM PROF BENOÁ";"São Paulo";"SP";"S/N4552S/N6S/N";"11";"28132S/NS/NS/N";"28132S/NS/N1";"crown@crownodonto.com.br";"WALTER CARMO CORIOLANO JUNIOR";"SOCIO ADMINISTRADOR";4;"1998-12-24"
"421952";"338S/N3129S/NS/NS/N197";"CRZ PLANO ODONTOLÓGICO LTDA";"CRUZ DENTAL";"Odontologia de Grupo";"AVENIDA RODOVALHO";"722";"SALA 13";"VILA MOEMA";"Tubarão";"SC";"887S/N5S/N91";"48";"3191S/N2S/N5";;"crzdental@gmail.com";"DANIELE NIEHUES CRUZ";"SÓCIA-ADMINISTRADORA";5;"2S/N19-12-S/N3"
"422S/N45";"34824393S/NS/NS/N17S/N";"CTESK ADMINISTRADORA DE BENEFIÍCIOS LTDA";"CTESK ADMINISTRADORA DE BENEFIÍCIOS ";"Administradora de Benefícios";"Q SCN QUADRA S/N2. BLOCO D. ENTRADA B";"SN";"SALAS 2S/N1 E 2S/N3";"ASA NORTE";"Brasília";"DF";"7S/N7129S/N4";"61";"32573926";;"siloe@ctesk.com.br";"SILOÉ JOÃO DE ALMEIDA JUNIOR";"Administrador";;"2S/N19-12-18"
"419737";"11973274S/NS/NS/N183";"D1 ADMINISTRADORA DE BENEFÍCIOS PRIVADOS DE ASSISTÊNCIA A SAÚDE  COLETIVOS LTDA";;"Administradora de Benefícios";"RUA DOS CEDROS";"5S/N1";"SALA S/N3";"JARDIM SãO PAULO";"Americana";"SP";"13468S/N2S/N";"19";"34622553";;"celso@solucaodinamica.com.br";"CELSO RONALDO SOARES";"SóCIO";6;"2S/N15-S/N4-S/N6"
"416118";"S/NS/N253137S/NS/NS/N158";"DANA INDUSTRIAS LTDA.";;"Autogestão";"AVENIDA FERNANDO STECCA";"78S/N";"PRÉDIO 26 - ADMINISTRAÇÃO";"IPORANGA";"Sorocaba";"SP";"18S/N87149";;;;"juliana.miranda@dana.com";"JULIANA DOS REIS MIRANDA";"COORDENADORA DE RH";;"2S/NS/N7-S/N6-14"
"421S/N81";"27832S/N58S/NS/NS/N158";"DELFHI PLANOS ODONTOLÓGICOS LTDA";"DELFHI ODONTO";"Odontologia de Grupo";"AV. PRUDENTE DE MORAIS";"624";;"TIROL";"Natal";"RN";"59S/N2S/N51S/N";"84";"9998621S/N9";;"delfino@delfhicorretora.com.br";"FRANCISCO DELFINO DA SILVA";"SÓCIO ADMINISTRADOR";5;"2S/N17-1S/N-S/N2"
"42S/N239";"246199S/N2S/NS/NS/N179";"DENTAL CARE ASSISTÊNCIA ODONTOLÓGICA LTDA";"DENTAL CARE";"Odontologia de Grupo";"RUA DO IMPERADOR";"359";;"CENTRO";"Maceió";"AL";"57S/N2S/N67S/N";"82";"3S/N22S/N163";"3S/N22S/N163";"financeiro@planodentalcare.com.br";"LEONINO VIEIRA DA SILVA FILHO";"SóCIO ADMINISTRADOR";5;"2S/N16-1S/N-25"
"386219";"66493529S/NS/NS/N1S/NS/N";"DENTAL CARE CLINICA ODONTOLOGICA LTDA";"ODONTOLOGICA";"Odontologia de Grupo";"RUA MATO GROSSO";"1S/NS/N1";;"CENTRO";"Avaré";"SP";"187S/NS/N15S/N";"14";"37322286";"37322286";"odontologica_avare@terra.com.br";"HILTON SERGIO ISMAEL LUTTI";"SOCIO";5;"1999-S/N1-2S/N"
"339458";"35436658S/NS/NS/N125";"DENTAL CENTER LTDA";"DENTAL CENTER LTDA";"Odontologia de Grupo";"RUA DES. JOSE PEREGRINO";"216";;"CENTRO";"João Pessoa";"PB";"58S/N135S/NS/N";"83";"3S/N414646";;"financeiro@dentalcenterpb.com.br";"MARCONI MARTINS DA SILVA";"SOCIO GERENTE";5;"1999-S/N1-15"
"3S/NS/N73S/N";"S/N14S/N2285S/NS/NS/N15S/N";"DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.";"DENTAL GOLD";"Odontologia de Grupo";"AVENIDA RUY CARNEIRO";"895";;"JARDIM MIRAMAR";"João Pessoa";"PB";"58S/N321S/N1";"83";"21S/N789S/NS/N";"21S/N78914";"gerencia@dentalgold.com.br";"JOSUEL GOMES DA SILVA";"SOCIO-GERENTE";5;"1998-12-22"
"413747";"S/N4212174S/NS/NS/N179";"DENTAL MASTER LTDA - EPP";"DENTAL MASTER";"Odontologia de Grupo";"AVENIDA CARAVELAS";"S/N3";"SALA 32 - ED. GALERIA DIVAMAR";"PRAIA DO FRANCES";"Marechal Deodoro";"AL";"5716S/NS/NS/NS/N";"82";"21239393";;"financeiro@master.dental";"GEORGE DE ALMEIDA SALDANHA";"REPRESENTANTE";5;"2S/NS/N1-S/N5-25"
"314366";"S/NS/N571628S/NS/NS/N147";"DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.";"DENTAL PLUS CONVÊNIO ODONTOLÓGICO";"Odontologia de Grupo";"RUA DOUTOR CESÁRIO MOTA";"135";;"CENTRO";"Santo André";"SP";"S/N9S/N1S/N1S/NS/N";"11";"497922S/NS/N";;"administrativo@dentalplus-sorria.com.br";"GABRIELA GONSALES FERNANDES BARCELLOS";"SÓCIA";6;"1998-12-23"
"3S/N4484";"787381S/N1S/NS/NS/N151";"DENTAL UNI - COOPERATIVA ODONTOLÓGICA";"DENTAL UNI";"Cooperativa odontológica";"RUA IRMÃ FLAVIA BORLET";"197";;"HAUER";"Curitiba";"PR";"8163S/N17S/N";"41";"3S/N2S/N395S/N";;"diretoria@dentaluni.com.br";"LUIZ HUMBERTO DE SOUZA DANIEL";"PRESIDENTE";4;"1998-12-22"
"423S/N5S/N";"431929S/N3S/NS/NS/N124";"DENTAL WHITE PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA";"DENTAL WHITE";"Odontologia de Grupo";"RUA DEPUTADO JOSÉ LAGES";"275";;"PONTA VERDE";"Maceió";"AL";"57S/N3533S/N";"82";"3S/N214141";;"contato@planodentalwhite.com.br";"CRISTIANO MORAES DOS SANTOS";"DIR ADM FIN";;"2S/N21-11-22"
"33362S/N";"S/NS/NS/N73193S/NS/NS/N1S/NS/N";"DENTAL-MED ASSISTENCIA ODONTOLOGICA S/S LTDA";"ORALMED ASSISTENCIA ODONTOLOGICA";"Odontologia de Grupo";"AV. RIO DE JANEIRO";"12S/N1";"TERREO";"CENTRO";"Londrina";"PR";"86S/N1S/N15S/N";"43";"33247S/NS/NS/N";"33247S/NS/NS/N";"oralmed@onda.com.br";"ROBERTO PRESCINOTTI";"SOCIO ADMINISTRADOR";6;"1999-S/N1-25"
"4S/N1463";"S/N1364933S/NS/NS/N12S/N";"DENTALMASTER COMÉRCIO DE PLANOS ODONTOLÓGICOS LTDA";"DENTALMASTER";"Odontologia de Grupo";"RUA CARLOS VASCONCELOS ";"1482";;"ALDEOTA";"Fortaleza";"CE";"6S/N115171";"85";"32655555";"32655555";"dentalmaster@planodentalmaster.com.br";"FRANCISCO FERNANDO ROCHA NOVAIS";"SÓCIO";6;"1999-S/N3-S/N4"
"422975";"395279S/N9S/NS/NS/N138";"DENTALMASTER LTDA";"DENTALMASTER";"Odontologia de Grupo";"AV. DOM PEDRO II";"421.S/N";"SALA A ";"CENTRO ";"São Lourenço";"MG";"37465S/NS/NS/N";"35";"98897S/N186";;"administrativo@dentalmastermg.com.br";"DANIEL PEREIRA PAIVA ";"Sócio administrador ";;"2S/N21-1S/N-S/N4"
"32289S/N";"S/N215615S/NS/NS/NS/N114";"DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA.";"DENTALPAR";"Odontologia de Grupo";"AV. SANTO AMARO";"333S/N";"CONJUNTO 13";"BROOKLIN";"São Paulo";"SP";"S/N45563S/NS/N";"11";"5S/N944S/NS/N2";"33S/N52151";"armando@dentalpar.com.br";"ARMANDO RODRIGUES FILHO";"DIRETOR PRESIDENTE";4;"1998-12-3S/N"
"4169S/N8";"S/N5616674S/NS/NS/N139";"DENTALPLAN PLANOS DE ASSISTENCIA ODONTOLOGICA LTDA";"DENTALPLAN VALE DO SÃO FRANCISCO";"Odontologia de Grupo";"RUA CASTRO ALVES";"352";;"CENTRO";"Petrolina";"PE";"563S/N434S/N";;;;"gerencia@dentalplanvsf.com.br";"DIÓGENES CAVALCANTI";"DIRETOR ADMINISTRATIVO E FINANCEIRO";5;"2S/NS/N9-S/N3-S/N2"
"327867";"S/N1S/N6S/N3S/N1S/NS/NS/N173";"DENTIÇÃO CONVÊNIOS ODONTOLÓGICOS LTDA";"DENTALPREV";"Odontologia de Grupo";"RUA ELIZEU DI BERNARDI";"34";"SALA 411";"CAMPINAS";"São José";"SC";"881S/N1S/N5S/N";;;;"financeirofloripa@dentalprev.com.br";"CLAUDIO JOAO BUCCO";"ADMINISTRADOR";5;"1998-12-21"
"414425";"S/N31134S/N8S/NS/NS/N168";"DENTSY ODONTOLOGIA S/S LTDA.";"DENTSY ODONTOLOGIA";"Odontologia de Grupo";"RUA CANDIDO PORTINARI";"3S/N";"SALA 1";"VILA CERCADO GRANDE";"Embu das Artes";"SP";"S/N68S/N418S/N";"11";"3284218S/N";;"oscar@dentsy.com.br";"OSCAR COELHO DE OLIVEIRA";"SOCIO ADMINISTRADOR";4;"2S/NS/N3-S/N1-13"
"357669";"199695S/NS/NS/NS/NS/N164";"DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL";"DESBAN";"Autogestão";"RUA BERNARDO GUIMARÃES";"1587";"9º ANDAR";"LOURDES";"Belo Horizonte";"MG";"3S/N14S/NS/N82";"31";"324985S/NS/N";"324985S/N6";"desban@desban.org.br";"JULIANA RODRIGUES DE PAULA CHIARI";"REPRESENTANTE LEGAL";4;"1998-12-18"
"423271";"457686S/N1S/NS/NS/N187";"DIXMED ADMINISTRADORA DE BENEFICIOS LTDA ";"DIXMED";"Administradora de Benefícios";"RUA LAURO MULLER";"116";"32º ANDAR";"BOTAFOGO";"Rio de Janeiro";"RJ";"2229S/N16S/N";"21";"988S/N1173";;"contato@dixmed.com.br";"RICARDO ESCÓRCIO DE AZEVEDO";"REPRESENTANTE LEGAL";;"2S/N22-S/N6-14"
"349682";"S/N1387625S/NS/NS/N11S/N";"DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.";"DOCTOR CLIN";"Medicina de Grupo";"Rua Sete de Setembro";"769";;"CENTRO HISTÓRICO";"Porto Alegre";"RS";"9S/NS/N1S/N19S/N";"51";"32548S/NS/NS/N";"3584S/N32S/N";"contabilidade@doctorclin.com.br";"MARCELO SANCHES DIETRICH";"SÓCIO ADMINISTRADOR";4;"1998-12-22"
"365645";"3S/N5S/N5523S/NS/NS/N15S/N";"DONA SAÚDE CLINICAS LTDA ";"DONA SAÚDE.";"Medicina de Grupo";"PRAÇA VISCONDE DE MAUA";"29";"SALA 5S/N4";"CENTRO";"Santos";"SP";"11S/N1S/NS/NS/NS/N";"21";"25935425";"38996196";"administracao@donasaude.com";"ROGÉRIO MARQUES SEVERINO";"SOCIO";4;"1998-12-21"
"423653";"47S/N58412S/NS/NS/N146";"DR DIA PLANOS ODONTOLOGICOS E SAUDE LTDA";"DR DIA PLANOS ODONTOLOGICOS E SAUDE LTDA";"Odontologia de Grupo";"Avenida Paraná";"13S/N";"Sala 115";"Centro";"Ivaiporã";"PR";"8687S/NS/NS/NS/N";"43";"439993518S/N8";;"dr.diaplanos@gmail.com";"REGINALDO JOSÉ DA SILVA";"Sócio-Administrador";;"2S/N23-S/N8-S/N7"
"416282";"S/N7893499S/NS/NS/N152";"E.X.M BRASIL SAÚDE LTDA";"AMEX SAÚDE";"Medicina de Grupo";"AV. TANCREDO NEVES";"62S/N";"EDIF. MUNDO PLAZA. SALA 231S/N A 2315";"CAMINHO DAS ÁRVORES";"Salvador";"BA";"4182S/NS/N2S/N";"71";"3S/N3239S/NS/N";"33415752";"amexsaude@amexsaude.com.br";"LUCIVAL OLIVEIRA  ALVES";"REPRESENTANTE LEGAL";6;"2S/NS/N7-S/N7-3S/N"
"418927";"173121S/N5S/NS/NS/N189";"EASY SAUDE ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de Benefícios";"AVENIDA JOÃO CABRAL DE MELO NETO";"85S/N";"BLOCO 2. SALAS 722 E 723";"BARRA DA TIJUCA";"Rio de Janeiro";"RJ";"22775S/N57";"21";"212355S/NS/N";;"gabriela@easysaude.com";"AGENOR PITTA LIMA MEDEIROS";"ADMINISTRADOR";6;"2S/N13-S/N6-13"
"42112S/N";"27252S/N86S/NS/NS/N1S/N4";"EASYPLAN ADMINISTRADORA DE BENEFICIOS LTDA.";"EASYPLAN ADMINISTRADORA";"Administradora de Benefícios";"SCN Quadra 5. Bloco A. Ed. Brasi¿lia Sho";"Sala 217 e 218";"Parte 6";"Asa Norte";"Brasília";"DF";"7S/N7159S/NS/N";"61";"414147S/NS/N";;"relacionamentoans@easyplan.com.br";"ROSILANE DE ALMEIDA MORAES";"SÓCIA-DIRETOR";4;"2S/N17-12-18"
"342611";"4932S/N799S/NS/NS/N192";"ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL";;"Autogestão";"RUA QUIRINO DE ANDRADE";"185";;"CENTRO";"São Paulo";"SP";"S/N1S/N499S/N2";"11";"458S/N5675";;"celuladeregulacao@economus.com.br";"MAURÍCIO APARECIDO LOPES";"DIRETOR DE SEGURIDADE";2;"1998-12-21"
"417343";"392454S/N2S/NS/NS/N191";"ECS ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de Benefícios";"RUA BARãO DE MESQUITA";"663";"LOJA 2S/N";"TIJUCA";"Rio de Janeiro";"RJ";"2S/N54S/N155";"21";"28413286";;"ECS_A@YAHOO.COM";"EDINOR CONCEIÇÃO SILVA";"REPRESENTANTE";4;"2S/N1S/N-S/N6-23"
"422S/N7S/N";"34844263S/NS/NS/N1S/N7";"ELETROS SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE";"ELETROS-SAÚDE";"Autogestão";"RUA URUGUAIANA";"174";"SALA 5S/N1";"CENTRO";"Rio de Janeiro";"RJ";"2S/NS/N5S/N9S/NS/N";"21";"21386S/NS/NS/N";;"governanca@eletrossaude.com.br";"ROGÉRIO CARLOS LAMIM BRAZ";"Diretor Presidente";;"2S/N19-12-11"
"417297";"11593821S/NS/NS/N1S/N3";"ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE";"ELOSAÚDE";"Autogestão";"RUA PRESIDENTE NEREU RAMOS";"146";"1º ANDAR -  CENTRO EMPRESARIAL ILHA DO A";"CENTRO";"Florianópolis";"SC";"88S/N15S/N1S/N";"48";"21S/N77539";"21S/N7751S/N";"elosaude@elosaude.com.br";"JEFERSON NUNES";"DIRETOR PRESIDENTE";6;"2S/N1S/N-S/N6-S/N9"
"4S/NS/N891";"S/NS/N352294S/NS/NS/N11S/N";"EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUÁRIA";"INFRAERO";"Autogestão";"SCS QUADRA 3 BLOCO A/B Nº 17/18 ED. OSCA";"17";;"ASA SUL";"Brasília";"DF";"7S/N3S/N3S/NS/NS/N";"61";"3222";"S/N512";"beneficio_sede@infraero.gov.br";"GILVANDRO VASCONCELOS COELHO DE ARAÚJO";"REPRESENTANTE LEGAL";1;"1999-S/N2-19"
"39548S/N";"37135365S/NS/NS/N133";"ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.";"SMILE ";"Medicina de Grupo";"RUA DOUTOR JOSE MILTON CORREIA ";"11S/N";"3. 4 e 5 ANDARES";"POÇO";"Maceió";"AL";"57S/N251S/NS/N";"S/N8";"221237333";;"ans.matriz@smilesaude.com.br";"FREDERICO VALENTE COELHO ";"DIRETOR PRESIDENTE ";5;"1998-12-16"
"422576";"37442364S/NS/NS/N131";"ESPLENDOR ADMINISTRADORA DE BENEFÍCIOS LTDA.";"ESPLENDOR ADMINISTRADORA DE BENEFÍCIOS  ";"Administradora de Benefícios";"QNM 17. CONJUNTO H. LOTE 28. SALA 2S/N1";"S/N";;"CEILANDIA";"Brasília";"DF";"72215178";"61";"982S/N8S/N9S/N3";;"saudebrasilia2@gmail.com";"EDILAMAR LIMA DA SILVA";"Administradora ";4;"2S/N21-S/N3-26"
"417441";"S/N18561S/N7S/NS/NS/N1S/N7";"EV ADMINISTRADORA DE BENEFÍCIOS LTDA";;"Administradora de Benefícios";"RUA ELIEZER LEVY";"2745";;"TREM";"Macapá";"AP";"689S/N1S/N16";"91";"32421S/N16";"32244459";"ev.corretora@uol.com.br";"VERA MARIA RESQUE VIEIRA ATHIAS";"SÓCIO-ADMINISTRADOR";3;"2S/N1S/N-S/N7-16"
"4S/N148S/N";"S/N2989632S/NS/NS/N155";"EVANGELICO SAUDE LTDA.";"MEDSUL SAUDE";"Medicina de Grupo";"RUA SALDANHA MARINHO";"225S/N";;"BIGORRILHO";"Curitiba";"PR";"8S/N73S/N18S/N";"41";"3S/N234442";"3S/N234442";"jonis.jensen@medsulsaude.com.br";"JEFFERSON BUENO MACHADO";"ADMINISTRADOR";4;"1999-S/N3-S/N4"
"4237S/NS/N";"49754S/N83S/NS/NS/N1S/N1";"EVO SAUDE ASSISTENCIA MEDICA LTDA";"EVO SAÚDE";"Medicina de Grupo";"QUADRA SAUS - QUADRA 4";"S/N";"BLOCO A.SALA 11S/N1";"ASA SUL";"Brasília";"DF";"7S/NS/N7S/NS/N4S/N";"61";"98273S/NS/NS/N4";;"salgado.brunna@gmail.com";"BRUNNA CERQUEIRA SALGADO LIMA";"DIRETORA ADMINISTRATIVA E";;"2S/N23-S/N9-12"
"423785";"511S/N7481S/NS/NS/N17S/N";"EVOLUÇÃO ADMINISTRADORA DE BENEFICIOS LTDA ";"AFFIANCE";"Administradora de Benefícios";"RUA ITUIUTABA";"34S/N";"2º ANDAR PARTE";"PRADO";"Belo Horizonte";"MG";"3S/N411S/N23";"31";"319139S/NS/N";;"administrativo@affiancelife.com.br";"FERNANDO ALVES VIEIRA ";"SOCIO ADMINISTRADOR ";;"2S/N23-1S/N-S/N2"
"421642";"31763326S/NS/NS/N1S/N2";"EXCELÊNCIA PLANO DE SAÚDE S/A";;"Medicina de Grupo";"Rua Castelo Branco";"676";;"Praia da Costa";"Vila Velha";"ES";"291S/N148S/N";"27";"99866S/N566";;"jumarcanedo@gmail.com";"PAULO ROBERTO CORSI LELLIS";"DIRETOR PRESIDENTE";5;"2S/N19-S/N4-16"
"4142S/N4";"S/N1747987S/NS/NS/N175";"EXTRAMED ADMINISTRAÇÃO E SERVIÇOS MÉDICOS LTDA";"EXTRAMED";"Administradora de Benefícios";"RUA DESEMBARGADOR CLOTARIO PORTUGAL";"243";;"ALTO SAO FRANCISCO";"Curitiba";"PR";"8S/N41S/N22S/N";"41";"3S/N688728";"3S/N688714";"extramed@extramed.com.br";"ILEANA MARIA IGLESIAS TEIXEIRA MOURA";"DIRETORA PRESIDENTE";1;"2S/NS/N1-S/N8-28"
"423777";"11641931S/NS/NS/N195";"FEBRAFITE SAUDE";"FEBRAFITE SAUDE";"Autogestão";"Q SRTVN";"QUADRA 7S/N2 ";"BLOCO P SALA 1S/N57";"ASA NORTE";"Brasília";"DF";"7S/N7199S/NS/N";"61";"332829S/N733281486";;"febrafitesaude@febrafite.org.br";"CLEUDES CERQUEIRA DE FREITAS";"DIRETOR PRESIDENTE";;"2S/N24-S/N3-S/N4"
"423581";"4939S/N919S/NS/NS/N128";"FEDERAL ADMINISTRADORA DE BENEFICIOS LTDA";"FEDERAL ADMINISTRADORA DE BENEFICIOS";"Administradora de Benefícios";"ST SRTVS QD. 7S/N1 CONJUNTO E BLOCO 3 SALA";"S/N";;"ASA SUL";"Brasília";"DF";"7S/N34S/N9S/N1";"21";"988812666";;"levi@federaladm.com.br";"LEVI PEREIRA FIGUEIREDO NETO";"ADMINISTRADOR";;"2S/N23-S/N6-26"
"415626";"S/N727S/N625S/NS/NS/N112";"FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA";"UNIODONTO CATARINENSE";"Cooperativa odontológica";"RUA JOAO PESSOA";"1S/N";"CASA";"VELHA";"Blumenau";"SC";"89S/N36S/NS/NS/N";"47";"3S/N418S/N7S/N";"3S/N418S/N7S/N";"cpd@uniodontosc.com.br";"MARCOS ADOLF PRINZ";"Presidente";5;"2S/NS/N6-S/N5-11"
"313971";"84112481S/NS/NS/N117";"FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE. AMAPÁ. AMAZONAS. PARÁ. RONDONIA E RORAIMA";"FAMA";"Cooperativa Médica";"RUA RIO AMAPA";"374";"CJ VIEIRA ALVES";"NOSSA SRA DAS GRAÇAS";"Manaus";"AM";"69S/N5315S/N";"92";"33S/N38S/NS/N2";"3233S/N416";"contabilidade@unimedfama.com.br";"WILSON YOSHIMITSU NIWA";"PRESIDENTE";5;"1998-12-21"
"41S/N888";"S/N3637776S/NS/NS/N1S/N5";"FILOSANITAS SAUDE LTDA";"SANTA FILOMENA SAUDE";"Medicina de Grupo";"Avenida Dois ";"47S/N";;"CENTRO";"Rio Claro";"SP";"135S/NS/N41S/N";"19";"353342S/NS/N";"353342S/NS/N";"filosanitas@santafilomena.com.br";"LAFAYETTE PARREIRA DUARTE";"DIRETOR ADMINISTRATIVO";6;"2S/NS/NS/N-S/N3-S/N3"
